horse_id,sire,sire_id,dam,dam_id,damsire,damsire_id
2018101572,プリサイスエンド Precise End(米),000a00fe9b,アサカラヴァーズ,2011104670,キングヘイロー,1995104427
2018101579,ドゥラメンテ,2012104511,ヘイローフジ,2003100206,キングヘイロー,1995104427
2018101590,ホッコータルマエ,2009100921,コウエイテンプウ,2006100647,デヒア Dehere(米),000a0000df
2018101592,エイシンヒカリ,2011101273,スナークスズラン,1999105134,ダンシングブレーヴ Dancing Brave(米),000a0000cc
2018101615,スクリーンヒーロー,2004103328,イクスキューズ,2004100763,ボストンハーバー Boston Harbor(米),000a00007c
2018101616,スクリーンヒーロー,2004103328,ウインアキレア,2012100229,コンデュイット Conduit(愛),2005190006
2018101621,エピファネイア,2010104155,ウインリバティ,2011104724,ダンスインザダーク,1993109188
2018101625,ハーツクライ,2001103038,コスモアクセス,2009105141,ロージズインメイ Roses in May(米),000a010a10
2018101626,ゴールドシップ,2009102739,コスモエルデスト,2011105940,ブラックホーク,1994109361
2018101630,ドゥラメンテ,2012104511,コスモチェーロ,2003110225,Fusaichi Pegasus,000a0022cf
2018101642,ダノンシャンティ,2007105709,ヒカルラブリーアイ,2000101123,ブライアンズタイム Brian's Time(米),000a000082
2018101646,スクリーンヒーロー,2004103328,マリアヴェロニカ,2008103338,ジャングルポケット,1998101786
2018101660,ルーラーシップ,2007103143,アンフィルージュ,2007104401,アグネスタキオン,1998101516
2018101662,ロージズインメイ Roses in May(米),000a010a10,ツクバオトメ,2008103074,ネオユニヴァース,2000101426
2018101671,ダンカーク Dunkirk(米),000a012185,セイラ,2009102772,スパイキュール,2000101557
2018101704,パイロ Pyro(米),000a01176a,ビクトリーレディー,2006104710,ネオユニヴァース,2000101426
2018101728,リオンディーズ,2013105915,エバーローズ,2009104752,ウインクリューガー,2000107407
2018101739,ディープインパクト,2002100816,ケイアイガーベラ,2006104463,Smarty Jones (米),000a01053e
2018101742,シニスターミニスター Sinister Minister(米),000a011099,ベターナウ Better Now(米),000a011e0c,サンダーガルチ Thunder Gulch(米),000a00035c
2018101744,ヘニーヒューズ Henny Hughes(米),000a011155,アルボランシー,2008104594,ロックオブジブラルタル,000a00fd4c
2018101796,ネオユニヴァース,2000101426,ドリームピーチ,2007104565,タップダンスシチー,1997110043
2018101804,エピファネイア,2010104155,ジュエリスト,2009106421,ダイワメジャー,2001103114
2018101817,スウェプトオーヴァーボード Swept Overboard(米),000a00fa34,ラプザントゥール,2011104558,キングカメハメハ,2001103460
2018101878,モーリス,2011100655,イチノヤジョウ,1999104113,アジュディケーティング Adjudicating(米),000a000d5d
2018101894,カレンブラックヒル,2009106230,トロピカルタイム,2000105004,ブライアンズタイム Brian's Time(米),000a000082
2018101924,ヴァンセンヌ,2009106525,オペラアイ,2000104483,オペラハウス Opera House(英),000a000d77
2018101928,エスポワールシチー,2005102837,ワンモアアリュール,1997105085,ジェイドロバリー Jade Robbery(米),000a0001a7
2018101943,キングカメハメハ,2001103460,アドマイヤシルク,2009106443,シンボリクリスエス,1999110099
2018101945,リオンディーズ,2013105915,アルーア,2009106427,ディープインパクト,2002100816
2018101946,ディスクリートキャット Discreet Cat(米),000a0113a1,アレキパ,2010103863,スペシャルウィーク,1995103211
2018101951,モーリス,2011100655,タガノエトワール,2011103610,キングカメハメハ,2001103460
